Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ROOM1:Zone Mean Air Temperature [C](TimeStep),ROOM1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](TimeStep),ROOM1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](TimeStep) 
 01/13  10:00:00,12.2,20.999999999999993,1793513.1031274006,0.0 
 01/13  11:00:00,16.7,21.000000000000004,1585592.0516947482,0.0 
 01/13  12:00:00,18.0,21.000000000000004,1337586.792258331,0.0 
 01/13  13:00:00,17.9,21.0,977947.9710406287,0.0 
 01/13  14:00:00,20.0,21.000000000000004,562732.4255160689,0.0 
 01/13  15:00:00,20.0,21.0,190061.4192560901,0.0 
 01/13  16:00:00,18.1,21.150241753996042,0.0,0.0 
 01/13  17:00:00,17.9,21.58133158208443,0.0,0.0 
 01/13  18:00:00,17.8,21.722003873818466,0.0,0.0 
 01/13  19:00:00,16.8,21.3866260004747,0.0,0.0 
 01/13  20:00:00,14.4,21.327390956260256,0.0,0.0 
 01/13  21:00:00,13.2,21.25650033770416,0.0,0.0 
 01/13  22:00:00,13.0,21.044137208459976,0.0,0.0 
 01/13  23:00:00,11.5,21.000757693050012,283608.3734682498,0.0 
 01/13  24:00:00,10.9,21.00001977263294,495142.1304360115,0.0 
 01/14  01:00:00,10.6,21.00000070811667,736718.0116625762,0.0 
 01/14  02:00:00,9.4,21.00000003367781,1032108.1473962896,0.0 
 01/14  03:00:00,8.4,21.00000000198865,1329304.225746244,0.0 
 01/14  04:00:00,7.6,21.000000000135813,1673241.8990951504,0.0 
 01/14  05:00:00,7.4,21.000000000010594,2029703.867011725,0.0 
 01/14  06:00:00,7.3,21.00000000000093,2398244.408128115,0.0 
 01/14  07:00:00,7.1,21.000000000000092,2773955.8700262927,0.0 
 01/14  08:00:00,6.9,21.000000000000004,3145514.682647813,0.0 
 01/14  09:00:00,7.2,20.999999999999996,2899718.1333575416,0.0 
 01/14  10:00:00,9.1,21.0,2921339.273296972,0.0 
 01/14  11:00:00,13.6,21.000000000000004,2789359.050230495,0.0 
 01/14  12:00:00,16.0,20.999999999999996,2566942.318862724,0.0 
 01/14  13:00:00,16.4,20.999999999999996,2190348.437007715,0.0 
 01/14  14:00:00,19.0,21.0,1692981.6201582185,0.0 
 01/14  15:00:00,19.8,21.000000000000004,1180839.025889107,0.0 
 01/14  16:00:00,17.5,21.000000000000004,762080.8437995294,0.0 
 01/14  17:00:00,16.9,21.000000000000004,470205.8873475704,0.0 
 01/14  18:00:00,16.6,21.0,361507.69731305813,0.0 
 01/14  19:00:00,15.8,21.0,524558.1766674779,0.0 
 01/14  20:00:00,13.2,21.000000000000004,514195.091530303,0.0 
 01/14  21:00:00,11.7,21.0,588858.8758808088,0.0 
 01/14  22:00:00,11.2,20.999999999999996,739518.0244754682,0.0 
 01/14  23:00:00,9.9,21.000000000000004,1093664.7489088934,0.0 
 01/14  24:00:00,9.5,21.0,1350798.5933135042,0.0 
 01/15  01:00:00,9.1,21.0,1591643.6018019838,0.0 
 01/15  02:00:00,7.8,20.999999999999996,1924506.9407583273,0.0 
 01/15  03:00:00,7.6,21.0,2267161.6111702644,0.0 
 01/15  04:00:00,7.2,21.000000000000004,2624159.3424294875,0.0 
 01/15  05:00:00,6.9,20.999999999999996,2987186.001906258,0.0 
 01/15  06:00:00,7.1,21.0,3348096.966441958,0.0 
 01/15  07:00:00,6.8,21.0,3706076.196885316,0.0 
 01/15  08:00:00,6.6,20.999999999999996,4053327.3655986334,0.0 
 01/15  09:00:00,7.1,20.999999999999996,3756111.2877110383,0.0 
 01/15  10:00:00,8.7,20.999999999999996,3729841.743654826,0.0 
 01/15  11:00:00,13.5,21.0,3564796.0607869364,0.0 
 01/15  12:00:00,14.9,21.000000000000004,3314771.1507534925,0.0 
 01/15  13:00:00,15.0,21.000000000000007,2931296.3673313814,0.0 
 01/15  14:00:00,17.5,21.0,2397746.5140430164,0.0 
 01/15  15:00:00,17.6,21.0,1838106.3242007252,0.0 
 01/15  16:00:00,15.8,21.0,1365892.0252572189,0.0 
 01/15  17:00:00,15.6,21.000000000000004,1029908.9955618125,0.0 
 01/15  18:00:00,15.3,21.0,945853.4588666225,0.0 
 01/15  19:00:00,14.3,20.999999999999996,1093982.696641918,0.0 
 01/15  20:00:00,11.1,21.0,1073256.8576774015,0.0 
 01/15  21:00:00,9.6,21.0,1142690.3978279338,0.0 
 01/15  22:00:00,9.4,21.0,1288283.5736912997,0.0 
 01/15  23:00:00,7.9,20.999999999999996,1632839.9743576788,0.0 
 01/15  24:00:00,6.9,21.0,1901322.2560852133,0.0 
 01/16  01:00:00,7.0,21.000000000000004,2179242.7719080285,0.0 
 01/16  02:00:00,7.2,21.000000000000004,2513003.569785418,0.0 
 01/16  03:00:00,7.4,20.999999999999996,2857666.645283526,0.0 
 01/16  04:00:00,7.3,21.0,3203370.467143982,0.0 
 01/16  05:00:00,7.1,20.999999999999993,3539671.860990592,0.0 
 01/16  06:00:00,7.3,21.000000000000004,3860698.42273472,0.0 
 01/16  07:00:00,7.4,21.0,4168869.4444859587,0.0 
 01/16  08:00:00,7.0,20.999999999999996,4462310.028441476,0.0 
 01/16  09:00:00,7.9,21.000000000000004,4125419.161395217,0.0 
 01/16  10:00:00,9.6,20.999999999999996,4053564.5985006797,0.0 
 01/16  11:00:00,15.4,21.000000000000004,3837988.536987492,0.0 
 01/16  12:00:00,16.3,21.000000000000004,3519101.005393038,0.0 
 01/16  13:00:00,16.5,20.999999999999996,3031300.1089231838,0.0 
 01/16  14:00:00,18.4,21.000000000000004,2446273.6857164716,0.0 
